EC_Number	BiGG_Reaction
1.1.1.36	RHACOAR100
1.1.1.36	RHACOAR140
1.1.1.36	RHACOAR60
1.1.1.36	RHACOAR80
1.1.1.361	NOT_IN_BIGG_DATABASE
1.1.1.363	G6PBDH
1.1.1.363	G6PBDHh
1.1.1.363	G6PDH1
1.1.1.363	G6PDH1er
1.1.1.363	G6PDH2er
1.1.1.363	G6PDH2r
1.1.1.37	MDH
1.1.1.37	MDHf
1.1.1.37	MDHh
1.1.1.37	MDHi2
1.1.1.37	MDHm
1.1.1.37	MDHp
1.1.1.370	NOT_IN_BIGG_DATABASE
1.1.1.371	NOT_IN_BIGG_DATABASE
1.1.1.373	NOT_IN_BIGG_DATABASE
1.1.1.38	ME1
1.1.1.38	ME1m
1.1.1.38	OAADC
1.1.1.381	AOBUTDs
1.1.1.381	AOBUTDsm
1.1.1.381	AOBUTDxs
1.1.1.381	ATHRDHr
1.1.1.39	ME1
1.1.1.39	ME1m
1.1.1.396	NOT_IN_BIGG_DATABASE
1.1.1.399	AHGDx
1.1.1.40	MDHC_nadp_hr
1.1.1.40	ME2
1.1.1.40	ME2m
1.1.1.40	OAADC
1.1.1.402	NOT_IN_BIGG_DATABASE
1.1.1.404	NOT_IN_BIGG_DATABASE
1.1.1.408	NOT_IN_BIGG_DATABASE
1.1.1.409	NOT_IN_BIGG_DATABASE
1.1.1.410	NOT_IN_BIGG_DATABASE
1.1.1.411	NOT_IN_BIGG_DATABASE
1.1.1.412	NOT_IN_BIGG_DATABASE
1.1.1.414	NOT_IN_BIGG_DATABASE
1.1.1.42	ICDHhr
1.1.1.42	ICDHym
1.1.1.42	ICDHyp
1.1.1.42	ICDHyr
1.1.1.42	r0082
1.1.1.42	r0083
1.1.1.42	r0084
1.1.1.42	r0422
1.1.1.42	r0423
1.1.1.42	r0424
1.1.1.434	NOT_IN_BIGG_DATABASE
1.1.1.44	GND
1.1.1.44	GNDer
1.1.1.44	PGDHh
1.1.1.45	GULN3D
1.1.1.47	NOT_IN_BIGG_DATABASE
1.1.1.48	NOT_IN_BIGG_DATABASE
1.1.1.49	G6PADH
1.1.1.49	G6PADHh
1.1.1.49	G6PBDH
1.1.1.49	G6PBDHh
1.1.1.49	G6PDH2er
1.1.1.49	G6PDH2r
1.1.1.51	ALCD3ir
1.1.1.51	HSD17B1
1.1.1.51	HSD17B2r
1.1.1.51	HSD17B7r
1.1.1.51	HSD17B8r
1.1.1.58	TAGURr
1.1.1.6	ALCD22_L
1.1.1.6	GLYCDx
1.1.1.60	HOXPRm
1.1.1.60	HOXPRx
1.1.1.60	TRSARr
1.1.1.65	PYDXOR
1.1.1.67	MNLDH2
1.1.1.76	NOT_IN_BIGG_DATABASE
1.1.1.77	ALCD21_D
1.1.1.77	LCARR
1.1.1.77	LCARS
1.1.1.79	GLYCLTDx
1.1.1.79	GLYCLTDy
1.1.1.79	GLYCLTDym
1.1.1.79	HPYRRy
1.1.1.79	LALDO2x
1.1.1.81	GLYCDH_1
1.1.1.81	HPYRRx
1.1.1.81	HPYRRy
1.1.1.83	MALDDH
1.1.1.85	IPMD
1.1.1.85	OMCDC
1.1.1.85	OMCDCm
1.1.1.86	DMORh
1.1.1.86	KARA1
1.1.1.86	KARA1im
1.1.1.86	KARA2
1.1.1.86	KARA2im
1.1.1.86	KARI
1.1.1.86	KARI_23dhmb
1.1.1.86	KARI_23dhmp
1.1.1.86	KARI_3hmoa
1.1.1.87	HICITDm
1.1.1.87	OXAGm
1.1.1.93	TARTRDH
1.1.1.93	TARTRDH2
1.1.1.94	G3PD1
1.1.1.94	G3PD1ir
1.1.1.94	G3PD1irm
1.1.1.94	G3PD2
1.1.1.94	G3PD2_1
1.1.1.94	r0202
1.1.1.95	PGCD
1.1.1.95	PGLYDH
1.1.2.10	NOT_IN_BIGG_DATABASE
1.1.2.3	L_LACD2
1.1.2.3	L_LACD3
1.1.2.4	NOT_IN_BIGG_DATABASE
1.1.2.7	NOT_IN_BIGG_DATABASE
1.1.2.8	NOT_IN_BIGG_DATABASE
1.1.3.-	NOT_IN_BIGG_DATABASE
1.1.3.41	NOT_IN_BIGG_DATABASE
1.1.3.47	NOT_IN_BIGG_DATABASE
1.1.3.48	NOT_IN_BIGG_DATABASE
1.1.3.6	NOT_IN_BIGG_DATABASE
1.1.5.-	NOT_IN_BIGG_DATABASE
1.1.5.12	NOT_IN_BIGG_DATABASE
1.1.5.2	NOT_IN_BIGG_DATABASE
1.1.5.3	G3PD
1.1.5.3	G3PDm
1.1.5.4	DMALRED
1.1.5.4	MOX
1.1.5.8	QUIDH
1.1.9.1	NOT_IN_BIGG_DATABASE
1.1.98.3	NOT_IN_BIGG_DATABASE
1.1.98.6	NOT_IN_BIGG_DATABASE
1.1.99.-	NOT_IN_BIGG_DATABASE
1.1.99.1	CHOLD2
1.1.99.1	CHOLD2m
1.1.99.14	NOT_IN_BIGG_DATABASE
1.10.3.-	NOT_IN_BIGG_DATABASE
1.10.3.17	NOT_IN_BIGG_DATABASE
1.11.1.-	NOT_IN_BIGG_DATABASE
1.11.1.10	NOT_IN_BIGG_DATABASE
1.11.1.15	THIORDXi
1.11.1.15	THIORDXm
1.11.1.15	THIORDXni
1.11.1.15	THIORDXp
1.11.1.18	NOT_IN_BIGG_DATABASE
1.11.1.21	CAT
1.11.1.21	CATm
1.11.1.21	CATp
1.11.1.21	PRDX
1.11.1.21	PRDXl
1.11.1.24	NOT_IN_BIGG_DATABASE
1.11.1.25	NOT_IN_BIGG_DATABASE
1.11.1.27	NOT_IN_BIGG_DATABASE
1.11.1.28	NOT_IN_BIGG_DATABASE
1.11.1.5	CCP
1.11.1.6	CAT
1.11.1.6	CAT2p
1.11.1.6	CATm
1.11.1.6	CATp
1.11.1.6	PRDX
1.11.1.6	PRDXl
1.11.1.9	GTHPe
1.11.1.9	GTHPi
1.11.1.9	GTHPm
1.12.1.3	H2ASE_syn
1.13.11.-	3MCAT23DOX
1.13.11.-	ALOX12R
1.13.11.1	CATDOX
1.13.11.11	TRPO2
1.13.11.15	34DHPACDO
1.13.11.15	DHPDO
1.13.11.2	3MCAT23DOX
1.13.11.2	4MCAT23DOX
1.13.11.2	CAT23DOX
1.13.11.24	Q23DO
1.13.11.27	34HPPOR
1.13.11.27	PPOR
1.13.11.29	NOT_IN_BIGG_DATABASE
1.13.11.3	PCADYOX
1.13.11.5	HGNTOR
1.13.11.54	ACDO
1.13.11.54	ARD
1.13.11.54	ARD_1
1.13.11.79	NOT_IN_BIGG_DATABASE
1.13.11.81	NOT_IN_BIGG_DATABASE
1.13.11.82	NOT_IN_BIGG_DATABASE
1.13.12.-	NOT_IN_BIGG_DATABASE
1.13.12.16	NPPDO
1.14.11.17	TAUDO
1.14.11.18	PHYHx
1.14.11.33	NOT_IN_BIGG_DATABASE
1.14.11.47	NOT_IN_BIGG_DATABASE
1.14.11.77	NOT_IN_BIGG_DATABASE
1.14.12.1	NOT_IN_BIGG_DATABASE
1.14.12.17	NODOx
1.14.12.17	NODOy
1.14.12.19	CINNDO
1.14.12.19	PPPNDO
1.14.12.25	NOT_IN_BIGG_DATABASE
1.14.12.3	NOT_IN_BIGG_DATABASE
1.14.13.-	LIDOMO
1.14.13.-	MXMO
1.14.13.-	PXMO
1.14.13.-	RE2235C
1.14.13.-	RE2235R
1.14.13.113	NOT_IN_BIGG_DATABASE
1.14.13.149	NOT_IN_BIGG_DATABASE
1.14.13.171	NOT_IN_BIGG_DATABASE
1.14.13.195	NOT_IN_BIGG_DATABASE
1.14.13.196	NOT_IN_BIGG_DATABASE
1.14.13.2	4HBHYOX
1.14.13.218	NOT_IN_BIGG_DATABASE
1.14.13.220	NOT_IN_BIGG_DATABASE
1.14.13.23	NOT_IN_BIGG_DATABASE
1.14.13.231	NOT_IN_BIGG_DATABASE
1.14.13.239	NOT_IN_BIGG_DATABASE
1.14.13.24	NOT_IN_BIGG_DATABASE
1.14.13.240	NOT_IN_BIGG_DATABASE
1.14.13.251	NOT_IN_BIGG_DATABASE
1.14.13.50	NOT_IN_BIGG_DATABASE
1.14.13.59	NOT_IN_BIGG_DATABASE
1.14.13.7	NOT_IN_BIGG_DATABASE
1.14.13.81	MPMECY2
1.14.13.81	MPOMC1
1.14.13.81	MPOMMM
1.14.13.81	MPOMOR
1.14.13.83	NOT_IN_BIGG_DATABASE
1.14.13.92	NOT_IN_BIGG_DATABASE
1.14.14.-	NOT_IN_BIGG_DATABASE
1.14.14.28	NOT_IN_BIGG_DATABASE
1.14.14.3	NOT_IN_BIGG_DATABASE
1.14.14.34	FDMO2
1.14.14.35	NOT_IN_BIGG_DATABASE
1.14.14.46	NOT_IN_BIGG_DATABASE
1.14.14.5	FDMO
1.14.14.5	FDMO2
1.14.14.5	FDMO4
1.14.14.8	NOT_IN_BIGG_DATABASE
1.14.14.9	3HPAOX
1.14.14.9	4HOXPACMOF
1.14.14.9	4HOXPACMOF_1
1.14.14.9	4HOXPACMON
1.14.14.9	HPA3MO
1.14.15.30	NOT_IN_BIGG_DATABASE
1.14.15.32	NOT_IN_BIGG_DATABASE
1.14.16.1	PHETHPTOX
1.14.19.-	NOT_IN_BIGG_DATABASE
1.14.99.44	NOT_IN_BIGG_DATABASE
1.14.99.46	NOT_IN_BIGG_DATABASE
1.14.99.50	NOT_IN_BIGG_DATABASE
1.14.99.58	NOT_IN_BIGG_DATABASE
1.14.99.60	NOT_IN_BIGG_DATABASE
1.15.1.1	SPODM
1.15.1.1	SPODMe
1.15.1.1	SPODMm
1.15.1.1	SPODMn
1.15.1.1	SPODMpp
1.15.1.1	SPODMx
1.16.1.1	NOT_IN_BIGG_DATABASE
1.16.1.9	NOT_IN_BIGG_DATABASE
1.16.3.1	FERO
1.16.3.1	FEROc
1.16.3.1	FEROpp
1.16.3.1	FEROt
1.16.3.1	r0016
1.16.3.2	NOT_IN_BIGG_DATABASE
1.17.1.1	NOT_IN_BIGG_DATABASE
1.17.1.4	HXAND
1.17.1.4	XAND
1.17.1.4	XANDp
1.17.1.8	NOT_IN_BIGG_DATABASE
1.17.1.9	NOT_IN_BIGG_DATABASE
1.17.2.1	NOT_IN_BIGG_DATABASE
1.17.4.1	RNDR1
1.17.4.1	RNDR1n
1.17.4.1	RNDR2
1.17.4.1	RNDR2n
1.17.4.1	RNDR3
1.17.4.1	RNDR3n
1.17.4.1	RNDR4
1.17.4.1	RNDR4n
1.17.5.3	NOT_IN_BIGG_DATABASE
1.17.7.1	NOT_IN_BIGG_DATABASE
1.17.7.3	NOT_IN_BIGG_DATABASE
1.17.7.4	NOT_IN_BIGG_DATABASE
1.17.8.1	NOT_IN_BIGG_DATABASE
1.17.99.6	NOT_IN_BIGG_DATABASE
1.17.99.9	NOT_IN_BIGG_DATABASE
1.18.1.-	NOT_IN_BIGG_DATABASE
1.18.1.1	RNADRr
1.18.1.2	FNOR
1.18.1.2	FRDO
1.18.1.3	NOT_IN_BIGG_DATABASE
1.19.1.1	FLDR
1.2.1.-	ABUTD
1.2.1.-	ABUTDm
1.2.1.-	ALDD2y
1.2.1.-	ALDD2ym
1.2.1.-	GGGABADr
1.2.1.11	ASAD
1.2.1.11	ASADH
1.2.1.12	GAPD
1.2.1.12	GAPDHf
1.2.1.12	GAPDHh
1.2.1.12	GAPDHm
1.2.1.16	SSALx
1.2.1.16	SSALxm
1.2.1.16	SSALy
1.2.1.16	SSNOh
1.2.1.16	r0179
1.2.1.18	MMSAD3
1.2.1.18	MMSAD3m
1.2.1.18	MMTSADm
1.2.1.19	ABUTD
1.2.1.19	ABUTDm
1.2.1.19	ALDD11
1.2.1.19	ALDD19x_P
1.2.1.19	ALDD22x
1.2.1.19	ALDD5
1.2.1.19	ALR
1.2.1.19	r0548
1.2.1.20	OXPTNDH
1.2.1.22	LCADi
